rel,way,tags,region
47619,35213226,"{'admin_level': '8', 'authoritative': 'yes', 'boundary': 'administrative', 'name': 'Terneuzen', 'name:nl': 'Terneuzen', 'name:ru': 'Тернёзен', 'name:vls': 'Terneuzn', 'population': '54426', 'population:date': '2020-01-01', 'ref:gemeentecode': '715', 'source:population': 'CBS', 'type': 'boundary', 'wikidata': 'Q10081', 'wikipedia': 'nl:Terneuzen (gemeente)'}",Terneuzen
47619,202211948,"{'admin_level': '8', 'authoritative': 'yes', 'boundary': 'administrative', 'name': 'Terneuzen', 'name:nl': 'Terneuzen', 'name:ru': 'Тернёзен', 'name:vls': 'Terneuzn', 'population': '54426', 'population:date': '2020-01-01', 'ref:gemeentecode': '715', 'source:population': 'CBS', 'type': 'boundary', 'wikidata': 'Q10081', 'wikipedia': 'nl:Terneuzen (gemeente)'}",Terneuzen
47619,35213271,"{'admin_level': '8', 'authoritative': 'yes', 'boundary': 'administrative', 'name': 'Terneuzen', 'name:nl': 'Terneuzen', 'name:ru': 'Тернёзен', 'name:vls': 'Terneuzn', 'population': '54426', 'population:date': '2020-01-01', 'ref:gemeentecode': '715', 'source:population': 'CBS', 'type': 'boundary', 'wikidata': 'Q10081', 'wikipedia': 'nl:Terneuzen (gemeente)'}",Terneuzen
47619,82451095,"{'admin_level': '8', 'authoritative': 'yes', 'boundary': 'administrative', 'name': 'Terneuzen', 'name:nl': 'Terneuzen', 'name:ru': 'Тернёзен', 'name:vls': 'Terneuzn', 'population': '54426', 'population:date': '2020-01-01', 'ref:gemeentecode': '715', 'source:population': 'CBS', 'type': 'boundary', 'wikidata': 'Q10081', 'wikipedia': 'nl:Terneuzen (gemeente)'}",Terneuzen
47798,250367976,"{'admin_level': '8', 'authoritative': 'yes', 'boundary': 'administrative', 'name': 'Baarle-Nassau', 'name:fr': 'Baerle-Nassau', 'name:mk': 'Барле-Насау', 'name:nl': 'Baarle-Nassau', 'name:ru': 'Барле-Нассау', 'population': '6859', 'population:date': '2020-01-01', 'ref:gemeentecode': '744', 'source:population': 'CBS', 'type': 'boundary', 'wikidata': 'Q9811', 'wikipedia': 'nl:Baarle-Nassau'}",Baarle-Nassau
47798,814274013,"{'admin_level': '8', 'authoritative': 'yes', 'boundary': 'administrative', 'name': 'Baarle-Nassau', 'name:fr': 'Baerle-Nassau', 'name:mk': 'Барле-Насау', 'name:nl': 'Baarle-Nassau', 'name:ru': 'Барле-Нассау', 'population': '6859', 'population:date': '2020-01-01', 'ref:gemeentecode': '744', 'source:population': 'CBS', 'type': 'boundary', 'wikidata': 'Q9811', 'wikipedia': 'nl:Baarle-Nassau'}",Baarle-Nassau
47798,814274014,"{'admin_level': '8', 'authoritative': 'yes', 'boundary': 'administrative', 'name': 'Baarle-Nassau', 'name:fr': 'Baerle-Nassau', 'name:mk': 'Барле-Насау', 'name:nl': 'Baarle-Nassau', 'name:ru': 'Барле-Нассау', 'population': '6859', 'population:date': '2020-01-01', 'ref:gemeentecode': '744', 'source:population': 'CBS', 'type': 'boundary', 'wikidata': 'Q9811', 'wikipedia': 'nl:Baarle-Nassau'}",Baarle-Nassau
47798,202487362,"{'admin_level': '8', 'authoritative': 'yes', 'boundary': 'administrative', 'name': 'Baarle-Nassau', 'name:fr': 'Baerle-Nassau', 'name:mk': 'Барле-Насау', 'name:nl': 'Baarle-Nassau', 'name:ru': 'Барле-Нассау', 'population': '6859', 'population:date': '2020-01-01', 'ref:gemeentecode': '744', 'source:population': 'CBS', 'type': 'boundary', 'wikidata': 'Q9811', 'wikipedia': 'nl:Baarle-Nassau'}",Baarle-Nassau
47798,86297905,"{'admin_level': '8', 'authoritative': 'yes', 'boundary': 'administrative', 'name': 'Baarle-Nassau', 'name:fr': 'Baerle-Nassau', 'name:mk': 'Барле-Насау', 'name:nl': 'Baarle-Nassau', 'name:ru': 'Барле-Нассау', 'population': '6859', 'population:date': '2020-01-01', 'ref:gemeentecode': '744', 'source:population': 'CBS', 'type': 'boundary', 'wikidata': 'Q9811', 'wikipedia': 'nl:Baarle-Nassau'}",Baarle-Nassau
47798,86298109,"{'admin_level': '8', 'authoritative': 'yes', 'boundary': 'administrative', 'name': 'Baarle-Nassau', 'name:fr': 'Baerle-Nassau', 'name:mk': 'Барле-Насау', 'name:nl': 'Baarle-Nassau', 'name:ru': 'Барле-Нассау', 'population': '6859', 'population:date': '2020-01-01', 'ref:gemeentecode': '744', 'source:population': 'CBS', 'type': 'boundary', 'wikidata': 'Q9811', 'wikipedia': 'nl:Baarle-Nassau'}",Baarle-Nassau
47798,85480271,"{'admin_level': '8', 'authoritative': 'yes', 'boundary': 'administrative', 'name': 'Baarle-Nassau', 'name:fr': 'Baerle-Nassau', 'name:mk': 'Барле-Насау', 'name:nl': 'Baarle-Nassau', 'name:ru': 'Барле-Нассау', 'population': '6859', 'population:date': '2020-01-01', 'ref:gemeentecode': '744', 'source:population': 'CBS', 'type': 'boundary', 'wikidata': 'Q9811', 'wikipedia': 'nl:Baarle-Nassau'}",Baarle-Nassau
47798,85480873,"{'admin_level': '8', 'authoritative': 'yes', 'boundary': 'administrative', 'name': 'Baarle-Nassau', 'name:fr': 'Baerle-Nassau', 'name:mk': 'Барле-Насау', 'name:nl': 'Baarle-Nassau', 'name:ru': 'Барле-Нассау', 'population': '6859', 'population:date': '2020-01-01', 'ref:gemeentecode': '744', 'source:population': 'CBS', 'type': 'boundary', 'wikidata': 'Q9811', 'wikipedia': 'nl:Baarle-Nassau'}",Baarle-Nassau
47798,966807669,"{'admin_level': '8', 'authoritative': 'yes', 'boundary': 'administrative', 'name': 'Baarle-Nassau', 'name:fr': 'Baerle-Nassau', 'name:mk': 'Барле-Насау', 'name:nl': 'Baarle-Nassau', 'name:ru': 'Барле-Нассау', 'population': '6859', 'population:date': '2020-01-01', 'ref:gemeentecode': '744', 'source:population': 'CBS', 'type': 'boundary', 'wikidata': 'Q9811', 'wikipedia': 'nl:Baarle-Nassau'}",Baarle-Nassau
47798,876378145,"{'admin_level': '8', 'authoritative': 'yes', 'boundary': 'administrative', 'name': 'Baarle-Nassau', 'name:fr': 'Baerle-Nassau', 'name:mk': 'Барле-Насау', 'name:nl': 'Baarle-Nassau', 'name:ru': 'Барле-Нассау', 'population': '6859', 'population:date': '2020-01-01', 'ref:gemeentecode': '744', 'source:population': 'CBS', 'type': 'boundary', 'wikidata': 'Q9811', 'wikipedia': 'nl:Baarle-Nassau'}",Baarle-Nassau
47798,43171683,"{'admin_level': '8', 'authoritative': 'yes', 'boundary': 'administrative', 'name': 'Baarle-Nassau', 'name:fr': 'Baerle-Nassau', 'name:mk': 'Барле-Насау', 'name:nl': 'Baarle-Nassau', 'name:ru': 'Барле-Нассау', 'population': '6859', 'population:date': '2020-01-01', 'ref:gemeentecode': '744', 'source:population': 'CBS', 'type': 'boundary', 'wikidata': 'Q9811', 'wikipedia': 'nl:Baarle-Nassau'}",Baarle-Nassau
47798,251008264,"{'admin_level': '8', 'authoritative': 'yes', 'boundary': 'administrative', 'name': 'Baarle-Nassau', 'name:fr': 'Baerle-Nassau', 'name:mk': 'Барле-Насау', 'name:nl': 'Baarle-Nassau', 'name:ru': 'Барле-Нассау', 'population': '6859', 'population:date': '2020-01-01', 'ref:gemeentecode': '744', 'source:population': 'CBS', 'type': 'boundary', 'wikidata': 'Q9811', 'wikipedia': 'nl:Baarle-Nassau'}",Baarle-Nassau
