rel,way,tags,region
3465366,38977192,"{'admin_level': '9', 'alt_name:la': 'Mansus', 'boundary': 'administrative', 'name': 'Meise', 'name:fr': 'Meysse', 'name:la': 'Mansio', 'name:nl': 'Meise', 'name:vls': 'Meyse', 'type': 'boundary'}",Meise
3465366,259245908,"{'admin_level': '9', 'alt_name:la': 'Mansus', 'boundary': 'administrative', 'name': 'Meise', 'name:fr': 'Meysse', 'name:la': 'Mansio', 'name:nl': 'Meise', 'name:vls': 'Meyse', 'type': 'boundary'}",Meise
3465366,258174695,"{'admin_level': '9', 'alt_name:la': 'Mansus', 'boundary': 'administrative', 'name': 'Meise', 'name:fr': 'Meysse', 'name:la': 'Mansio', 'name:nl': 'Meise', 'name:vls': 'Meyse', 'type': 'boundary'}",Meise
3465367,258174694,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Wolvertem', 'type': 'boundary', 'wikidata': 'Q3471888', 'wikipedia': 'nl:Wolvertem'}",Wolvertem
3465367,974386251,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Wolvertem', 'type': 'boundary', 'wikidata': 'Q3471888', 'wikipedia': 'nl:Wolvertem'}",Wolvertem
3465367,298067142,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Wolvertem', 'type': 'boundary', 'wikidata': 'Q3471888', 'wikipedia': 'nl:Wolvertem'}",Wolvertem
3465367,62920376,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Wolvertem', 'type': 'boundary', 'wikidata': 'Q3471888', 'wikipedia': 'nl:Wolvertem'}",Wolvertem
3465367,298058328,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Wolvertem', 'type': 'boundary', 'wikidata': 'Q3471888', 'wikipedia': 'nl:Wolvertem'}",Wolvertem
3465367,60394366,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Wolvertem', 'type': 'boundary', 'wikidata': 'Q3471888', 'wikipedia': 'nl:Wolvertem'}",Wolvertem
3465367,258184544,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Wolvertem', 'type': 'boundary', 'wikidata': 'Q3471888', 'wikipedia': 'nl:Wolvertem'}",Wolvertem
3465367,258174693,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Wolvertem', 'type': 'boundary', 'wikidata': 'Q3471888', 'wikipedia': 'nl:Wolvertem'}",Wolvertem
3465367,980231956,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Wolvertem', 'type': 'boundary', 'wikidata': 'Q3471888', 'wikipedia': 'nl:Wolvertem'}",Wolvertem
3465367,980233897,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Wolvertem', 'type': 'boundary', 'wikidata': 'Q3471888', 'wikipedia': 'nl:Wolvertem'}",Wolvertem
3465367,980231954,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Wolvertem', 'type': 'boundary', 'wikidata': 'Q3471888', 'wikipedia': 'nl:Wolvertem'}",Wolvertem
3465367,980233898,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Wolvertem', 'type': 'boundary', 'wikidata': 'Q3471888', 'wikipedia': 'nl:Wolvertem'}",Wolvertem
3465367,971769258,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Wolvertem', 'type': 'boundary', 'wikidata': 'Q3471888', 'wikipedia': 'nl:Wolvertem'}",Wolvertem
3465367,971769259,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Wolvertem', 'type': 'boundary', 'wikidata': 'Q3471888', 'wikipedia': 'nl:Wolvertem'}",Wolvertem
3465367,384814899,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Wolvertem', 'type': 'boundary', 'wikidata': 'Q3471888', 'wikipedia': 'nl:Wolvertem'}",Wolvertem
3465465,258184545,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Brussegem', 'type': 'boundary', 'wikidata': 'Q2500185', 'wikipedia': 'nl:Brussegem'}",Brussegem
3465465,980233898,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Brussegem', 'type': 'boundary', 'wikidata': 'Q2500185', 'wikipedia': 'nl:Brussegem'}",Brussegem
3465465,980231954,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Brussegem', 'type': 'boundary', 'wikidata': 'Q2500185', 'wikipedia': 'nl:Brussegem'}",Brussegem
3465465,980233897,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Brussegem', 'type': 'boundary', 'wikidata': 'Q2500185', 'wikipedia': 'nl:Brussegem'}",Brussegem
3465465,980231956,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Brussegem', 'type': 'boundary', 'wikidata': 'Q2500185', 'wikipedia': 'nl:Brussegem'}",Brussegem
3465465,258174693,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Brussegem', 'type': 'boundary', 'wikidata': 'Q2500185', 'wikipedia': 'nl:Brussegem'}",Brussegem
3465465,297937324,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Brussegem', 'type': 'boundary', 'wikidata': 'Q2500185', 'wikipedia': 'nl:Brussegem'}",Brussegem
3465465,258184546,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Brussegem', 'type': 'boundary', 'wikidata': 'Q2500185', 'wikipedia': 'nl:Brussegem'}",Brussegem
3465465,258184543,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Brussegem', 'type': 'boundary', 'wikidata': 'Q2500185', 'wikipedia': 'nl:Brussegem'}",Brussegem
3465465,470029346,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Brussegem', 'type': 'boundary', 'wikidata': 'Q2500185', 'wikipedia': 'nl:Brussegem'}",Brussegem
3465466,258184543,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Hamme', 'type': 'boundary', 'wikidata': 'Q2427768', 'wikipedia': 'nl:Hamme (Vlaams-Brabant)'}",Hamme
3465466,252236072,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Hamme', 'type': 'boundary', 'wikidata': 'Q2427768', 'wikipedia': 'nl:Hamme (Vlaams-Brabant)'}",Hamme
3465466,31019090,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Hamme', 'type': 'boundary', 'wikidata': 'Q2427768', 'wikipedia': 'nl:Hamme (Vlaams-Brabant)'}",Hamme
3465466,31019117,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Hamme', 'type': 'boundary', 'wikidata': 'Q2427768', 'wikipedia': 'nl:Hamme (Vlaams-Brabant)'}",Hamme
